"","FeatureName","FeatureID","AvgRank"
"1","WNT5B",41,1
"2","WNT7B",44,6
"3","GSK3B",20,6.9
"4","CSNK1G3",14,7.4
"5","WNT5A",40,8.6
"6","CSNK1A1",9,9.4
"7","PRKX",27,9.6
"8","BMP4",2,14.4
"9","GAS1",16,16.1
"10","HHIPL2",21,16.1
"11","WNT4",39,16.2
"12","WNT6",42,17.6
"13","CSNK1D",10,21.2
"14","WNT10B",34,21.6
"15","BMP8A",6,22.1
"16","PTCH1",28,22.3
"17","PRKACB",25,22.7
"18","GLI2",18,22.9
"19","BMP5",3,23.7
"20","BTRC",8,23.7
"21","GLI1",17,24
"22","PRKACA",24,25
"23","FBXW11",15,25.2
"24","SMO",32,25.3
"25","CSNK1E",11,26.5
"26","BMP8B",7,26.8
"27","LRP2",23,27.1
"28","WNT2B",38,27.1
"29","WNT8B",45,27.5
"30","BMP2",1,27.7
"31","SHH",31,27.8
"32","WNT2",37,27.8
"33","BMP7",5,28
"34","WNT1",33,28.4
"35","WNT11",35,28.5
"36","WNT7A",43,30.1
"37","GLI3",19,30.6
"38","BMP6",4,30.7
"39","RAB23",30,31.6
"40","PTCH2",29,32.1
"41","CSNK1G1",12,32.4
"42","IHH",22,32.6
"43","CSNK1G2",13,32.8
"44","PRKACG",26,32.8
"45","WNT16",36,37.1
