"","Overall"
"GLI3",100
"FBXW11",73.1660569464201
"BMP8B",65.0979183460572
"PRKACA",54.2981685925718
"WNT5B",39.9791760076154
"WNT5A",32.1248805501708
"GAS1",30.188545756454
"RAB23",29.6658612793097
"BMP8A",27.6289979845694
"WNT7B",24.2612877995859
"SMO",23.9284916911957
"BMP7",22.105863089622
"CSNK1G2",19.6469963883405
"CSNK1G1",17.968654053312
"PRKX",16.2383475996242
"WNT7A",13.1744993098454
"PRKACB",11.9791855128352
"PTCH1",11.1188544298267
"WNT8B",10.9509421563088
"BMP5",10.0795329016163
"PTCH2",9.9663465261824
"WNT11",7.83115011215619
"BMP2",7.64200433870079
"CSNK1G3",6.82095857225549
"WNT2",3.81138387251513
"WNT10B",3.13415620003346
"CSNK1D",2.94171566625488
"PRKACG",2.84333360318796
"SHH",2.73477444032348
"BMP4",2.55704640712952
"GLI1",2.5439222166259
"IHH",2.5158121154504
"WNT2B",2.22284054907334
"WNT1",2.13762976380285
"WNT16",1.55971357991314
"BMP6",1.48411299043829
"WNT4",1.24854961011857
"WNT6",1.0806419778213
"BTRC",0.783278466567171
"CSNK1A1",0.47391866580522
"GLI2",0.11072052656474
"LRP2",0
"GSK3B",0
